ID,UNIFORMITY,PCT_DUPLICATE,TI_TV_RATIO,TOTAL_PF_READS,PCT_ALIGNED,MEDIAN_FRAGMENT_LENGTH,MEAN_COVERAGE_DEPTH,PCT_Q30,PCT_ON_MANIFEST,R1_MEAN_ERROR,R2_MEAN_ERROR,GC_DROPOUT,AT_DROPOUT
150206_M01602_0164_000000000-ADD91,99.7,20.7,6.9,1676869,99.3,246,319.9,97.4,2.9,0.14,0.22,0.33,7.71
150206_M03063_0031_000000000-AD28D,99.3,28.9,5.4,1917080,98.9,261,362.1,93.3,2.8,0.37,0.32,0.6,8.27
150209_M01602_0165_000000000-ADBL2,99.5,32.5,9,2824036,98.9,241,504.8,93.8,2.7,0.22,0.39,0.35,8.89
150209_M03063_0032_000000000-AD63W,99.6,28.7,6.5,2564578,99.1,247,461.5,96.1,2.7,0.17,0.3,0.38,7.86
150211_M01602_0166_000000000-AD63N,99.6,33.2,6.4,2921939,99,240,506.3,94.8,2.6,0.18,0.36,0.3,9.18
150216_M01602_0167_000000000-AD7P0,99.6,23.3,5.4,2367731,99,240,402.6,95.2,2.6,0.16,0.35,0.26,9.24
150220_M01602_0168_000000000-AD7U8,99.3,23.3,6.9,1973762,99.1,261,331.3,95.9,2.5,0.17,0.33,0.32,9.92
150223_M03063_0035_000000000-ADDN8,99.5,22.8,5.4,2475955,98.9,249,422.5,95,2.6,0.16,0.43,0.32,9.5
150223_M03448_0018_000000000-ACPG9,92.8,32,3.1,25297543,98.2,206,181.1,94.8,83,0.22,0.35,1.82,9.67
150309_M01602_0171_000000000-ADDTU,99.6,23.9,5.8,2275252,99.1,237,415.9,95.9,2.7,0.15,0.3,0.34,8.53
150309_M03063_0038_000000000-ADDF7,99.5,24.9,4.6,2403720,99.2,241,425.5,96.6,2.6,0.15,0.29,0.35,9.13
150310_M03448_0019_000000000-ADF73,99.7,30.6,5,3377370,99.2,235,624,96.1,2.7,0.17,0.29,0.42,7.92
150320_M01602_0172_000000000-ADTRF,90.7,29,3.1,24703050,98.1,225,162.4,94.7,79.1,0.23,0.4,1.97,14.12
150320_M03448_0020_000000000-ADY1H,91.3,36.2,3.2,22327078,98.3,199,154.3,95.9,83.2,0.22,0.32,0.87,11.36
150324_M01602_0173_000000000-ADDEL,99.5,31.2,5.7,2785004,99,242,492.5,95.1,2.6,0.19,0.34,0.37,8.21
150324_M03063_0039_000000000-AD817,99.5,39.6,5.5,2958701,98.3,238,540.5,96.5,2.8,0.15,0.29,0.44,6.94
150325_M03448_0021_000000000-AD80J,99.6,29.8,6.7,2555513,98.8,246,481,95.9,2.8,0.18,0.3,0.43,7.02
150326_M01602_0174_000000000-ADF90,99.6,35.9,5.2,2706275,99.2,244,498.3,95.6,2.7,0.16,0.31,0.44,7.48
150408_M01602_0175_000000000-ADF9J,99.3,30.6,6.5,2514354,99,243,426,95.9,2.5,0.16,0.32,0.31,9.3
150408_M03063_0040_000000000-AEATY,99.5,32.8,5.3,2864507,99.1,237,526.8,95.8,2.7,0.19,0.31,0.43,8
150421_M01602_0176_000000000-AECBE,99.5,25.2,5.3,2537803,99,249,423.3,95.6,2.5,0.18,0.34,0.3,9.38
150421_M03063_0041_000000000-AE9MH,99.5,31.1,5.2,3035247,99.1,242,505.4,96.1,2.6,0.17,0.3,0.26,9.35
150505_M01602_0177_000000000-AE9N7,99.7,24,5.8,2517655,98.7,233,443.6,92.6,2.7,0.24,0.48,0.27,8.86
150511_M01602_0178_000000000-AFEDY,93.1,24.8,3.1,28265033,98.1,226,192.5,94,79.4,0.24,0.45,2.1,11.4
150511_M03448_0022_000000000-AFEE1,94,16.6,3,29341446,98,249,189.8,93.1,75.9,0.26,0.48,2.55,7.64
